epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1129.41,1.57076,0.7644,0.89612,0.78914,0.53303,0.61552,0.2914,1.71724,0.83499,0.97238,0.00127623,0.00127623,0.00127623
64,1153.63,1.55985,0.76631,0.89405,0.79022,0.52813,0.61174,0.27966,1.73629,0.8654,0.97605,0.0012562,0.0012562,0.0012562
65,1164.34,1.54039,0.76108,0.89234,0.7682,0.55094,0.61946,0.28353,1.74255,0.85232,0.97394,0.00123607,0.00123607,0.00123607
66,1188.63,1.53964,0.75696,0.89199,0.76621,0.53985,0.61125,0.28265,1.73562,0.84138,0.97724,0.00121583,0.00121583,0.00121583
67,1222.95,1.60691,0.79983,0.89462,0.78619,0.54029,0.61623,0.28004,1.75103,0.86049,0.97888,0.00119551,0.00119551,0.00119551
68,1231.66,1.5128,0.75093,0.89288,0.77139,0.54055,0.61642,0.28319,1.73288,0.83607,0.97208,0.0011751,0.0011751,0.0011751
69,1269.83,1.45127,0.71043,0.88526,0.77443,0.54117,0.6217,0.29096,1.71646,0.83698,0.97456,0.00115462,0.00115462,0.00115462
70,1304.65,1.50419,0.74292,0.88811,0.78319,0.53827,0.61672,0.28956,1.70744,0.82854,0.96777,0.00113408,0.00113408,0.00113408
71,1313.33,1.52334,0.75664,0.89064,0.78044,0.53779,0.61533,0.29062,1.73424,0.85225,0.98112,0.00111348,0.00111348,0.00111348
72,1322.45,1.55218,0.76097,0.88497,0.79124,0.5379,0.62204,0.28697,1.72785,0.84059,0.97627,0.00109284,0.00109284,0.00109284
73,1340.81,1.51908,0.74046,0.88687,0.79712,0.53548,0.62073,0.2898,1.72316,0.84537,0.97482,0.00107216,0.00107216,0.00107216
74,1349.72,1.4905,0.73076,0.88397,0.805,0.53092,0.62139,0.29367,1.71533,0.83552,0.97694,0.00105146,0.00105146,0.00105146
